Type,Trait value
Ranking,35.32034032
Ranking,26.33140816
Review,2.672939616
Ranking,36.05739987
Ranking,14.15471709
Ranking,9.543232023
Ranking,22.35165357
Review,3.922570114
Review,4.888829313
Review,3.15232552
Ranking,35.2365137
Ranking,37.75495654
Review,4.132818312
Review,4.157519462
Ranking,12.42161865
Ranking,21.8281052
Review,2.144679921
Ranking,19.40112987
Ranking,8.364349235
Review,4.631955578
Review,2.153917557
Ranking,31.95939999
Review,3.61909691
Ranking,2.30914173
Ranking,1.201161011
Review,4.637274996
Ranking,34.07168586
Ranking,15.66515112
Review,3.389310883
Review,4.365192264
Review,4.195660985
Ranking,0.575111102
Review,3.136957571
Review,2.379369956
Ranking,42.67252927
Ranking,25.13481398
Ranking,24.70221718
Ranking,27.35092278
Ranking,16.87423699
Review,3.783415914
Ranking,48.89867002
Review,2.351885835
Ranking,27.76516304
Ranking,21.60786221
Review,2.233063169
Review,3.637740806
Review,2.546558886
Ranking,45.8997716
Ranking,12.29746465
Ranking,15.16046801
Ranking,10.07161728
Review,2.713735542
Review,3.625651631
Review,3.043551914
Review,4.238416077
Review,2.98387995
Review,3.779005059
Ranking,41.28346017
Review,4.099311976
Review,4.600907938
Review,2.810931447
Ranking,13.04141706
Ranking,23.30381803
Review,4.202910596
Review,2.316467007
Review,4.354116812
Review,2.297687444
Ranking,21.42696912
Review,2.318678618
Review,2.859083002
Review,2.581388518
Review,4.799050828
Ranking,23.24589987
Ranking,8.542839696
Review,3.672813619
Ranking,11.42032309
Ranking,29.21046029
Ranking,41.77708107
Ranking,20.45773018
Ranking,11.66006334
Review,3.245442986
Ranking,47.9422024
Review,2.642776517
Ranking,18.02925471
Ranking,6.921072395
Review,3.061693454
Review,2.781367559
Review,3.132737183
Review,3.079920102
Review,3.056846381
Ranking,34.04993833
Review,4.016945835
Review,2.053636031
Review,3.344856115
Review,4.119466528
Ranking,42.04249374
Ranking,1.507470092
Review,3.724642864
Ranking,19.20620105
Review,2.227722541
Review,4.062968107
Review,4.242158383
Ranking,45.83327643
Review,2.005786279
Review,2.688170402
Review,4.442889906
Ranking,12.2573433
Review,4.826353548
Review,2.438657169
Review,2.686221226
Review,3.879403315
Ranking,24.42391508
Ranking,25.05789097
Ranking,33.09315357
Review,4.85196399
Ranking,32.98523433
Ranking,8.394204525
Ranking,45.15573218
Review,2.193934091
Review,2.630271232
Ranking,18.5428268
Review,3.690482219
Review,4.387998304
Review,2.998638977
Review,4.669503007
Ranking,12.96431991
Review,2.999380039
Review,4.136728787
Ranking,15.59847109
Ranking,34.67685007
Ranking,8.675226749
Ranking,45.09466945
Ranking,43.00109564
Ranking,9.980707513
Ranking,34.40581926
Ranking,1.282803858
Ranking,31.40794594
Ranking,22.38650503
Review,3.619778116
Review,4.150245356
Review,2.199610984
Ranking,0.513287387
Ranking,47.30705074
Ranking,41.96081986
Ranking,29.0067444
Review,4.547478328
Review,4.001117576
Review,4.621078633
Ranking,45.636758
Ranking,47.69181168
Ranking,24.60580344
Ranking,40.58430153
Ranking,11.68130757
Review,2.782976394
Review,4.75216608
Review,4.409117159
Ranking,43.62957291
Review,3.173886972
Ranking,21.28937766
Review,4.844539843
Review,4.121670809
Ranking,0.626505929
Ranking,9.662259066
Review,2.573440897
Ranking,43.26090148
Ranking,0.12148931
Review,2.149535818
Ranking,46.00246526
Ranking,20.3399371
Ranking,47.02456849
Ranking,41.4042767
Review,2.848350501
Review,4.93113277
Ranking,26.74490362
Ranking,42.85188784
Review,3.107849081
Ranking,24.55563764
Ranking,15.09840977
Review,2.508529632
Ranking,28.52143092
Ranking,11.82712895
Ranking,29.3627697
Review,3.187589579
Review,2.075046345
Ranking,24.85807454
Ranking,11.58803075
Ranking,15.18537348
Review,2.887486213
Ranking,37.32433013
Ranking,24.05888118
Ranking,37.21303291
Review,3.852723711
Ranking,49.97286616
Ranking,20.8987279
Review,3.422437636
Ranking,21.59012281
Review,4.120476132
Review,4.104639156
Review,3.996307788
Ranking,43.66658797
Review,3.109683732
Review,3.876243298
Ranking,39.29398515
Ranking,16.16333284
Ranking,39.210347
Review,4.477898549
Review,3.393523979
Review,3.16630144
Ranking,2.290480505
Ranking,4.048446454
Review,2.030469545
Review,3.974794633
Review,4.095510388
Review,2.688794082
Review,3.831244638
Ranking,30.93203041
Review,4.002279327
Review,2.244810139
Ranking,11.64280426
Review,4.849024139
Ranking,27.28178687
Review,2.187402672
Review,2.415808362
Ranking,33.28751602
Ranking,41.82869629
Review,4.70589117
Ranking,4.242054548
Review,2.599731474
Ranking,29.51361412
Review,4.405631961
Review,3.156491655
Review,3.375632637
Review,3.394289181
Ranking,16.87929129
Ranking,15.3313246
Review,4.34103122
Review,3.714646144
Review,2.184193802
Ranking,34.99882047
Review,3.093445117
Review,3.741758017
Ranking,25.12122882
Review,3.924102555
Review,2.477126349
Review,3.197588918
Review,2.442776811
Review,4.582092586
Review,3.060073188
Ranking,35.84781168
Ranking,11.81265165
Ranking,22.92920049
Review,3.133413848
Ranking,4.524815334
Ranking,2.460378572
Ranking,42.957538
Review,3.873015983
Review,3.364950122
Review,2.718036599
Ranking,22.47644544
Review,4.646433534
Review,3.948859254
Review,3.095497554
Ranking,1.43732017
Ranking,6.443458483
Review,4.717009201
Review,4.223844025
Ranking,22.91923619
Review,2.933628696
Ranking,4.848163225
Ranking,24.48803678
Review,2.331385505
Review,3.713376355
Review,2.388005607
Ranking,21.80990287
Review,2.921119121
Ranking,10.83498022
Ranking,39.28293187
Review,4.927650801
Review,2.923785337
Ranking,21.15026741
Ranking,38.87043767
Ranking,0.887285508
Review,2.79549222
Review,3.119690398
Review,2.710653703
Review,4.256704235
Ranking,42.27161934
Review,2.205112945
Ranking,1.480910097
Ranking,41.86588995
Ranking,39.06616278
Ranking,16.66171327
Review,3.089475118
Ranking,30.11372163
Review,2.482882768
Ranking,19.91111953
Review,2.846130022
Ranking,38.27237232
Review,4.743110895
Ranking,34.6755727
Ranking,29.99206662
Ranking,19.07368176
Review,4.936364208
Review,3.513723658
Review,3.705719284
Ranking,7.539428851
Review,2.500681877
Ranking,12.11552274
Review,3.990924559
Ranking,25.14070936
Review,2.997524402
Ranking,22.76028636
Ranking,46.83685172
Ranking,17.05522874
Ranking,3.993062938
Review,4.846054743
Review,4.978653356
Review,3.696517389
Ranking,4.851919393
Review,2.330086971
Review,3.330347534
Ranking,28.58740498
Ranking,10.71224769
Ranking,33.36455235
Review,2.595462983
Review,4.634945526
Review,2.164520533
Review,2.667809886
Ranking,33.71452769
Review,4.51027133
Ranking,46.73867272
Ranking,0.572428164
Review,4.624115285
Review,4.749420917
Ranking,44.95886867
Review,4.975476198
Review,3.541454033
Ranking,22.54897398
Ranking,41.58164652
Ranking,21.45641029
Ranking,15.2627396
Review,4.239404658
Review,3.789415151
Ranking,30.01321438
Ranking,0.699935575
Review,2.887779696
Review,4.432633309
Review,3.226336331
Review,3.356013121
Review,4.03084428
Review,4.419367805
Ranking,10.57964116
Review,4.663423423
Ranking,25.71323667
Ranking,23.92462781
Ranking,46.33420528
Ranking,27.94533269
Review,4.231217366
Review,2.334499538
Review,2.121116647
Ranking,15.68005867
Ranking,1.177167257
Ranking,20.5406931
Ranking,17.62053787
Review,3.581183797
Ranking,17.38176024
Review,2.949554256
Ranking,21.99381879
Review,3.89940516
Review,2.502866891
Ranking,21.59991963
Ranking,49.48598839
Ranking,16.84045991
Review,4.670328441
Review,3.707273372
Ranking,39.67481601
Ranking,11.26819827
Review,3.264416538
Review,3.035693303
Ranking,18.17421631
Review,2.065232734
Review,4.475843457
Ranking,46.12862814
Ranking,35.23184042
Review,3.09876022
Ranking,43.51692784
Ranking,32.15646361
Ranking,4.931442135
Ranking,38.43326881
Review,4.592778108
Ranking,21.73195603
Ranking,4.398331332
Review,4.826878746
Ranking,38.81656764
Review,2.818799897
Review,3.063814734
Ranking,47.83646366
Review,3.581503448
Review,4.752528469
Review,3.663021122
Ranking,42.57153075
Review,4.096502771
Ranking,11.38132767
Ranking,46.97729895
Review,3.902823472
Review,4.928215428
Ranking,36.66751643
Ranking,28.28659541
Ranking,42.07055006
Review,3.39428197
Ranking,12.61807823
Ranking,40.68265714
Ranking,47.1289187
Ranking,19.67719478
Review,3.931055493
Ranking,9.773252858
Ranking,28.09685736
Ranking,8.332115433
Review,3.287465295
Ranking,47.25032279
Ranking,12.94543404
Review,4.756468155
Ranking,31.99961262
Review,2.094416762
Ranking,6.067543451
Review,2.12344853
Review,2.233123934
Review,2.862850009
Ranking,5.655273197
Review,3.839073709
Review,4.839993125
Review,4.963076497
Ranking,8.417245735
Ranking,8.736772795
Review,2.085663242
Review,4.198734002
Review,2.397882209
Review,4.351973078
Ranking,6.978664075
Ranking,35.31662878
Ranking,25.58982981
Ranking,35.43453878
Review,2.020163111
Ranking,3.155763686
Ranking,6.445208815
Review,4.489475339
Review,2.176862203
Ranking,44.75737552
Ranking,48.22348296
Ranking,0.141760298
Review,4.226616369
Review,2.311546046
Ranking,7.31044859
Ranking,29.02035023
Ranking,35.60054126
Review,2.995616478
Review,2.379041982
Ranking,28.18704097
Review,4.774124854
Ranking,2.68814653
Review,2.800851215
Review,3.058734603
Review,4.28215214
Ranking,10.96708106
Ranking,4.436188508
Ranking,41.43354425
Review,2.573016541
Review,3.138324497
Ranking,2.493027084
Ranking,23.17675939
Review,2.428992107
Ranking,32.65942846
Ranking,25.65142309
Review,2.052595005
Review,2.164010254
Review,2.070874695
Review,3.017786757
Review,2.0545867
Ranking,22.94519546
Review,3.321936854
Ranking,16.76620094
Ranking,41.80144344
Ranking,40.7822661
Review,2.307272079
Review,3.388353543
Ranking,18.21327018
Ranking,44.24501994
Ranking,17.90788944
Review,3.914323927
Ranking,40.59929996
Review,4.295432285
Ranking,48.97002032
Review,2.356475475
Ranking,43.18068155
Ranking,34.58546656
Review,4.875942571
Review,2.926086811
Ranking,4.853452745
Review,3.952255132
Ranking,42.14574438
Ranking,2.014259534
Ranking,45.11893989
Ranking,8.796645876
Ranking,28.33630973
Review,3.319905647
Review,2.315621331
Review,2.264164287
Review,3.012620301
Review,2.492978574
Ranking,2.009134785
Review,3.995611645
Ranking,11.64159493
Review,4.719879332
Review,2.071281517
Review,2.34456806
Review,2.073274995
Ranking,48.22250418
Ranking,31.35518517
Review,2.477852872
Review,2.456890968
Ranking,17.99281835
Ranking,36.77047632
Review,4.249870744
Ranking,8.360109395
Ranking,12.29095222
Ranking,32.37022972
Review,3.011933654
Ranking,17.23273635
Ranking,19.07309345
Ranking,29.75952469
Ranking,3.097405978
Ranking,0.183316981
Ranking,34.25197881
Review,2.607412196
Ranking,29.63892494
Ranking,29.35685205
Review,2.927676171
Ranking,28.11584505
Review,2.073773583
Review,2.460045263
Review,2.126511335
Review,4.099230078
Review,2.360681301
Ranking,35.449053
Review,2.808300641
Ranking,8.319928048
Review,2.60468456
Ranking,46.92006335
Ranking,4.172993601
Ranking,24.24115541
Review,4.419506493
Review,4.142736516
Ranking,5.890788536
Ranking,15.2029934
Ranking,45.19467903
Ranking,31.40397989
Ranking,39.24377185
Review,4.983765236
Review,2.209757622
Review,2.351161855
Review,3.506908218
Ranking,35.91517928
Ranking,16.92174992
Review,3.914400067
Review,4.47894994
Review,4.415308222
Review,4.513588243
Ranking,35.51702979
Review,2.950319451
Review,3.579471397
Ranking,9.340066893
Ranking,24.43549845
Ranking,40.47294461
Ranking,31.93475153
Ranking,27.22934304
Review,4.776235151
Ranking,41.71232397
Ranking,27.15189761
Review,3.679050514
Review,2.005799208
Review,4.015665657
Review,3.018234396
Ranking,10.55912876
Review,3.898825798
Review,2.6823269
Ranking,40.56967778
Review,2.867373874
Ranking,11.50486446
Ranking,40.03695108
Review,3.18145928
Review,3.773950295
Review,4.382310082
Ranking,34.10242386
Review,4.906169639
Review,2.107178657
Review,4.91967763
Ranking,31.87342734
Review,2.533722391
Ranking,20.38673465
Ranking,29.94150725
Ranking,23.12985539
Review,2.819124924
Ranking,8.254426378
Ranking,11.63648123
Review,2.548752475
Review,2.706348217
Ranking,4.143246106
Review,2.935794857
Review,3.623803943
Review,3.155009472
Ranking,24.77110958
Ranking,12.28594386
Review,4.426619378
Review,4.040071661
Review,3.598439776
Ranking,7.869588742
Ranking,49.5684341
Review,4.932143415
Review,2.544831174
Ranking,14.73267336
Review,4.084131501
Review,3.049150809
Ranking,3.525972789
Review,3.627734601
Review,4.627469953
Ranking,34.80098879
Review,4.893779355
Ranking,13.87711606
Ranking,13.5866407
Review,3.993651826
Review,4.593175409
Ranking,27.40728365
Review,4.718552032
Review,2.210462983
Ranking,6.857428937
Ranking,27.79131599
Review,3.178324048
Ranking,7.739836339
Ranking,14.92376305
Ranking,9.381188804
Review,2.272612312
Ranking,17.63718691
Review,2.486993345
Review,3.400570193
Ranking,44.54043827
Ranking,34.84900951
Ranking,32.30842424
Review,3.972937482
Ranking,44.13788169
Ranking,41.96968929
Ranking,27.17420692
Ranking,30.50160358
Review,2.423319467
Review,3.363531161
Review,4.555061555
Ranking,39.00495095
Review,3.343985623
Ranking,12.80792149
Review,2.811929917
Review,4.636716302
Review,4.720059029
Review,4.663518213
Ranking,14.50683316
Review,2.580733356
Ranking,39.31935724
Ranking,2.866776895
Ranking,6.66577918
Review,4.112433017
Review,4.847971983
Ranking,49.01651212
Ranking,9.634176177
Review,2.832427618
Review,2.491981573
Review,3.431601577
Review,3.598648879
Review,4.781170798
Ranking,14.38291649
Review,4.975009514
Review,4.739080929
Review,2.361752947
Review,4.048061381
Review,2.34479532
Review,4.469040636
Ranking,16.20145965
Review,4.069580655
Review,2.631044912
Review,3.095644855
Review,3.659677311
Review,3.823415642
Review,4.562346631
Ranking,4.308076769
Review,3.634826614
Review,2.311523319
Review,2.374131677
Review,3.626532824
Ranking,13.60612991
Review,4.850429428
Ranking,34.28386471
Review,3.235598348
Review,2.258892254
Review,4.925923146
Ranking,47.13815585
Ranking,21.46118837
Ranking,39.57030674
Review,3.322277596
Review,2.459096485
Review,3.503655586
Review,3.452790662
Ranking,31.43208753
Ranking,23.45772009
Review,2.412691995
Review,3.475418168
Review,2.845648904
Review,2.750870312
Review,3.103135963
Ranking,20.88508796
Review,4.315845801
Review,4.58692186
Ranking,20.531446
Review,4.827062275
Ranking,20.40610217
Ranking,18.06074327
Review,4.730343569
Ranking,32.32526701
Ranking,1.311072754
Ranking,10.06408771
Review,3.724640494
Ranking,42.99569659
Ranking,6.329814565
Ranking,46.75082119
Ranking,22.98236344
Review,4.715673389
Ranking,29.30744147
Review,2.7152221
Review,3.366386076
Ranking,5.09123197
Ranking,36.51215137
Ranking,6.960611002
Ranking,41.93125561
Review,3.265846354
Review,3.566146354
Ranking,38.73574282
Ranking,38.12924477
Ranking,1.178587316
Ranking,34.52556783
Review,4.300938956
