CEO,Company,Total CEO Pay,Shareholder Return,Median Employee Pay,Year
Vicki A. Hollub,Occidental Petroleum,$16.0 Million,-28%,"$185,259 ",2019
Brian Humphries,Cognizant,$16.0 Million,-1.10%,"$32,084 ",2019
Bhavesh V. Bob Patel,LyondellBasell,$15.9 Million,19%,"$86,466 ",2019
Mark S. Sutton,International Paper,$15.9 Million,20%,"$88,810 ",2019
James R. Fitterling,Dow,$15.9 Million,n/a,"$109,556 ",2019
Michael F. Mahoney,Boston Scientific,$15.8 Million,28%,"$65,630 ",2019
Richard C. Adkerson,Freeport-McMoRan,$15.7 Million,30%,"$75,874 ",2019
Alan S. Armstrong,Williams Cos,$15.6 Million,14%,"$177,403 ",2019
James M. Foote,CSX,$15.5 Million,18%,"$107,632 ",2019
George Oliver,Johnson Controls,$15.5 Million,29%,"$41,987 ",2019
Gail Boudreaux,Anthem,$15.5 Million,16%,"$62,686 ",2019
Christopher M. Crane,Exelon,$15.4 Million,4.20%,"$126,000 ",2019
Ernest Scott Santi,Illinois Tool Works,$15.4 Million,46%,"$51,892 ",2019
Howard Willard III,Altria,$15.4 Million,8.10%,"$142,246 ",2019
Dennis R. Glass,Lincoln National,$15.4 Million,18%,"$79,460 ",2019
Douglas J. Pferdehirt,TechnipFMC,$15.4 Million,12%,"$63,294 ",2019
John McAvoy,ConEd,$15.3 Million,22%,"$215,556 ",2019
Kevin P. Clark,Aptiv,$15.2 Million,56%,"$7,302 ",2019
Herve Hoppenot,Incyte,$15.2 Million,37%,"$254,237 ",2019
Charles F. Lowrey,Prudential,$15.1 Million,20%,"$111,499 ",2019
Michael H. McGarry,PPG,$15.1 Million,33%,"$40,598 ",2019
Lynn J. Good,Duke Energy,$15.0 Million,10%,"$123,608 ",2019
Lance M. Fritz,Union Pacific,$15.0 Million,34%,"$79,446 ",2019
Kevin Lobo,Stryker,$15.0 Million,35%,"$70,771 ",2019
Lorenzo Simonelli,Baker Hughes,$14.9 Million,23%,"$79,242 ",2019
John G. Morikis,Sherwin Williams,$14.9 Million,50%,"$42,590 ",2019
Glenn D. Fogel,Booking Holdings,$14.8 Million,19%,"$50,418 ",2019
Daniel Joseph Houston,Principal Financial,$14.7 Million,30%,"$116,561 ",2019
Charles Jones,FirstEnergy,$14.7 Million,34%,"$149,550 ",2019
Steven J. Demetriou,Jacobs Engineering Group,$14.6 Million,20%,"$79,733 ",2019
William J. Stromberg,T. Rowe Price,$14.6 Million,36%,"$109,916 ",2019
Michel Khalaf,MetLife,$14.6 Million,29%,"$77,359 ",2019
Michael Rapino,Live Nation,$14.6 Million,45%,"$18,333 ",2019
Christopher Swift,Hartford Financial,$14.6 Million,40%,"$96,867 ",2019
Mark J. Costa,Eastman Chemical,$14.6 Million,12%,"$81,638 ",2019
David J. Henshall,Citrix Systems,$14.5 Million,9.70%,"$181,769 ",2019
Nicholas K. Akins,American Electric Power,$14.5 Million,30%,"$132,611 ",2019
Stanley M. Bergman,Henry Schein,$14.4 Million,9.60%,"$71,272 ",2019
Jeffrey C. Sprecher,ICE,$14.4 Million,24%,"$146,693 ",2019
Richard D. Fain,Royal Caribbean,$14.4 Million,40%,"$17,303 ",2019
David V. Auld,DR Horton,$14.4 Million,27%,"$86,531 ",2019
John J. Christmann IV,Apache,$14.3 Million,1.10%,"$157,761 ",2019
Wendell P. Weeks,Corning,$14.3 Million,-1.00%,"$49,121 ",2019
Mark Begor,Equifax,$14.3 Million,52%,"$72,230 ",2019
Leo P. Denault,Entergy,$14.3 Million,44%,"$129,663 ",2019
William H. Spence,PPL,$14.1 Million,33%,"$147,463 ",2019
James Lico,Fortive,$14.1 Million,13%,"$56,212 ",2019
Daniel P. Amos,Aflac,$14.1 Million,19%,"$56,371 ",2019
Gary E. Dickerson,Applied Materials,$14.1 Million,68%,"$104,500 ",2019
Lee M. Tillman,Marathon Oil,$14.1 Million,-3.80%,"$144,720 ",2019
Susan Patricia Griffith,Progressive,$14.0 Million,25%,"$66,285 ",2019
Marc R. Bitzer,Whirlpool,$14.0 Million,43%,"$20,765 ",2019
Rodney C. Sacks,Monster Beverage,$14.0 Million,29%,"$55,169 ",2019
Frederic Lissalde3,BorgWarner,$13.9 Million,27%,"$44,389 ",2019
Jose E. Almeida,Baxter,$13.9 Million,28%,"$43,131 ",2019
Adena T. Friedman,Nasdaq,$13.9 Million,34%,"$120,822 ",2019
Matt Maddox,Wynn Resorts,$13.9 Million,45%,"$45,706 ",2019
Dan O. Dinges,Cabot Oil,$13.8 Million,-21%,"$74,070 ",2019
David A. Hager,Devon Energy,$13.8 Million,17%,"$164,100 ",2019
"Raymond McDaniel, Jr.",Moody's,$13.8 Million,71%,"$87,393 ",2019
Antonio Neri,Hewlett Packard Enterprise,$13.7 Million,11%,"$67,196 ",2019
Liam Griffin,Skyworks,$13.7 Million,-11%,"$21,852 ",2019
Alessandro Bogliolo,Tiffany,$13.5 Million,54%,"$35,743 ",2019
Hess John B.,Hess,$13.5 Million,68%,"$190,250 ",2019
Arne M. Sorenson,Marriott,$13.4 Million,42%,"$38,878 ",2019
Robert E. Sulentic,CBRE,$13.4 Million,53%,"$61,122 ",2019
Scott D. Sheffield,Pioneer Natural Resources,$13.4 Million,16%,"$171,525 ",2019
James Murren,MGM Resorts,$13.1 Million,40%,"$38,954 ",2019
Thomas J. Derosa,Welltower,$13.1 Million,23%,"$90,811 ",2019
Kevin M. Stein,Transdigm,$13.1 Million,48%,"$44,072 ",2019
John M. Turner Jr.,Regions Financial,$13.1 Million,33%,"$60,621 ",2019
Paul C. Reilly,Raymond James Financial,$13.1 Million,-8.90%,"$94,864 ",2019
Ralph Izzo,Public Service Enterprise,$13.1 Million,17%,"$142,188 ",2019
Lance Uggla,IHS Markit,$13.1 Million,36%,"$90,999 ",2019
David L. Stover,Noble Energy,$13.0 Million,35%,"$142,118 ",2019
Timothy A. Leach,Concho Resources,$13.0 Million,-14%,"$157,850 ",2019
David Kenny,Nielsen,$12.9 Million,-8.50%,"$32,646 ",2019
James H. Herbert II,First Republic Bank,$12.9 Million,36%,"$145,400 ",2019
Clay C. Williams,National Oilwell Varco,$12.8 Million,-1.70%,"$51,374 ",2019
Lawrence Erik Kurzius,McCormick,$12.8 Million,15%,"$31,603 ",2019
Jeffrey Allen Miller,Halliburton,$12.8 Million,-5.10%,"$16,853 ",2019
William R. Thomas,EOG Resources,$12.7 Million,-2.80%,"$175,681 ",2019
Oscar Munoz,United Continental,$12.6 Million,5.20%,"$74,750 ",2019
Jay A. Brown,Crown Castle,$12.6 Million,35%,"$123,187 ",2019
Donald W. Slager,Republic Services,$12.6 Million,27%,"$63,899 ",2019
Brent Shafer,Cerner,$12.5 Million,41%,"$69,830 ",2019
Thomas P. Gibbons,Bank of New York Mellon,$12.5 Million,9.50%,"$63,202 ",2019
Michael R. McMullen,Agilent,$12.5 Million,18%,"$70,014 ",2019
Stephen P. Macmillan,Hologic,$12.4 Million,23%,"$91,403 ",2019
A. William Stein,Digital Realty,$12.3 Million,16%,"$157,229.85 ",2019
C. Howard Nye,Martin Marietta Materials,$12.2 Million,64%,"$67,956 ",2019
Margaret M. Keane,Synchrony Financial,$12.2 Million,57%,"$45,407 ",2019
Douglas L. Peterson,S&P Global,$12.2 Million,62%,"$27,860 ",2019
Michael D. Hsu,Kimberly Clark,$12.0 Million,24%,"$47,328 ",2019
Barbara Rentler,Ross Stores,$12.0 Million,23%,"$11,356 ",2019
Todd J. Vasos,Dollar General,$12.0 Million,34%,"$14,571 ",2019
Eugene A. Hall,Gartner,$12.0 Million,21%,"$110,383 ",2019
Vincent Roche,Analog Devices,$11.9 Million,30%,"$62,277 ",2019
Owen D. Thomas,Boston Properties,$11.9 Million,26%,"$115,266 ",2019
Terrence A. Duffy,CME Group,$11.9 Million,9.70%,"$145,478 ",2019
John A. Hayes,Ball Corp.,$11.9 Million,42%,"$93,903 ",2019
Pedro Pizarro,Edison International,$11.8 Million,38%,"$190,935 ",2019
Blake D. Moret,Rockwell Automation,$11.7 Million,-10%,"$57,907 ",2019
Marc Doyle,DuPont,$11.7 Million,-18%,"$86,294 ",2019
Steven Voorhees,Westrock,$11.7 Million,-28%,"$58,183 ",2019
Marvin Ellison,Lowe's,$11.6 Million,23%,"$22,748 ",2019
W. Douglas Parker,American Airlines,$11.6 Million,-9.40%,"$61,143 ",2019
Andrew Anagnost,Autodesk,$11.6 Million,34%,"$114,999 ",2019
Timothy D. Cook,Apple,$11.6 Million,0.90%,"$57,596 ",2019
Pierre R. Brondeau,FMC,$11.5 Million,59%,"$51,332 ",2019
Michael A. Mussallem,Edwards Lifesciences,$11.5 Million,52%,"$64,517 ",2019
Martin L. Flanagan,Invesco,$11.5 Million,15%,"$125,282 ",2019
Ronald Clarke,Fleetcor,$11.5 Million,55%,"$38,414 ",2019
Jen Hsun Huang,Nvidia,$11.5 Million,65%,"$178,944 ",2019
Kelly S. King,Truist Financial,$11.5 Million,35%,"$101,421 ",2019
Steven Roth,Vornado,$11.5 Million,15%,"$65,442 ",2019
Corie Barry,Best Buy,$11.4 Million,-17%,"$27,005 ",2019
Donald Casey Jr.,Dentsply Sirona,$11.4 Million,53%,"$50,861 ",2019
James Collins Jr.,Corteva,$11.4 Million,n/a,"$80,757 ",2019
Debra A. Cafaro,Ventas,$11.3 Million,3.40%,"$101,004 ",2019
Steven H. Collis,AmerisourceBergen,$11.3 Million,-9.00%,"$54,472 ",2019
James C. Fish Jr.,Waste Management,$11.3 Million,30%,"$76,048 ",2019
Bryan Hanson,Zimmer Biomet,$11.2 Million,45%,"$69,683 ",2019
Arnold W. Donald,Carnival,$11.1 Million,-22%,"$15,429 ",2019
Rami Rahim,Juniper Networks,$11.1 Million,-5.70%,"$129,616 ",2019
Ronald S. Nersesian,Keysight,$11.1 Million,77%,"$84,714 ",2019
Matthew S. Levatich,Harley-Davidson,$11.1 Million,14%,"$187,157 ",2019
W. Robert Berkley Jr.,W.R. Berkley,$11.0 Million,44%,"$105,106 ",2019
Terry K. Spencer,Oneok,$10.9 Million,48%,"$136,080 ",2019
F. Thomson Leighton,Akamai,$10.9 Million,41%,"$117,276 ",2019
Timothy J. Naughton,AvalonBay,$10.9 Million,24%,"$70,917 ",2019
Craig A. Menear,Home Depot,$10.9 Million,28%,"$22,652 ",2019
William L. Meaney,Iron Mountain,$10.9 Million,5.90%,"$39,267 ",2019
Noel R. Wallace,Colgate Palmolive,$10.8 Million,19%,"$24,055 ",2019
Andrs R. Gluski,AES,$10.8 Million,42%,"$61,975 ",2019
Murray S. Kessler,Perrigo,$10.8 Million,36%,"$82,616 ",2019
Christopher J. Klein,Fortune Brands,$10.7 Million,75%,"$57,125 ",2019
Gregory W. Becker,SVB Financial,$10.7 Million,32%,"$132,157 ",2019
Roger A. Krone,Leidos,$10.7 Million,89%,"$103,657 ",2019
Gary M. Philbin,Dollar Tree,$10.6 Million,-10%,"$15,375 ",2019
David Simon,Simon Property,$10.4 Million,-6.60%,"$62,457 ",2019
Gregory E. Johnson,Franklin Resources,$10.4 Million,-1.90%,"$63,941 ",2019
Noel W. White,Tyson,$10.4 Million,48%,"$36,681 ",2019
Mark W. Kowlzan,Packaging Corp,$10.3 Million,38%,"$71,268 ",2019
Jeffrey Gennette,Macy's,$10.3 Million,-34%,"$22,353 ",2019
Kevin R. Sayer,Dexcom,$10.3 Million,83%,"$94,523 ",2019
Earl C. Duke Austin Jr.,Quanta Services,$10.2 Million,36%,"$92,493 ",2019
Karl G. Glassman,Leggett & Platt,$10.2 Million,47%,"$36,441 ",2019
David A. Zapico,Ametek,$10.2 Million,48%,"$86,304 ",2019
Jeffrey Stoops,SBA Communications,$10.2 Million,49%,"$92,370 ",2019
Alan B. Colberg,Assurant,$10.2 Million,50%,"$43,368 ",2019
Anders Gustafsson,Zebra,$10.2 Million,60%,"$66,632 ",2019
Stephen H. Rusckowski,Quest Diagnostics,$10.1 Million,31%,"$53,492 ",2019
Hikmet Ersek,Western Union,$10.1 Million,63%,"$31,966 ",2019
Devin W. Stockfish,Weyerhaeuser,$10.0 Million,45%,"$63,464 ",2019
Thomas M. Herzog,Healthpeak,$9.9 Million,29%,"$145,000 ",2019
Bruce Van Saun,Citizens Financial,$9.9 Million,42%,"$66,497 ",2019
James Calvin O'rourke,Mosaic,$9.8 Million,-25%,"$37,234 ",2019
Richard P. McKenney,Unum,$9.7 Million,2.60%,"$65,568 ",2019
Warner L. Baxter,Ameren,$9.7 Million,21%,"$147,127 ",2019
Steve Cahillane,Kellogg,$9.7 Million,26%,"$38,895 ",2019
Beth E. Mooney,KeyCorp,$9.7 Million,43%,"$63,748 ",2019
Ken Xie,Fortinet,$9.6 Million,52%,"$122,329 ",2019
Chi Foon Chan,Synopsys,$9.6 Million,52%,"$89,083 ",2019
Aart J. Geus,Synopsys,$9.6 Million,52%,"$89,083 ",2019
J. Thomas Hill,Vulcan Materials,$9.6 Million,47%,"$85,562 ",2019
Fran̤ois Locoh-Donou,F5 Networks,$9.5 Million,-30%,"$176,749 ",2019
Michael O'grady,Northern Trust,$9.5 Million,31%,"$76,636 ",2019
Dow R. Wilson,Varian Medical,$9.4 Million,6.40%,"$109,548 ",2019
James F. Risoleo,Host Hotels,$9.4 Million,17%,"$197,781 ",2019
William D. Nash,CarMax,$9.4 Million,41%,"$42,691 ",2019
James S. Tisch,Loews,$9.3 Million,16%,"$72,145 ",2019
Terrence R. Curtin,TE Connectivity,$9.3 Million,8.30%,"$20,846 ",2019
Joseph Kevin Fletcher,Wec Energy,$9.3 Million,37%,"$127,703 ",2019
Henry A. Fernandez,MSCI,$9.3 Million,77%,"$55,857 ",2019
Roger C. Hochschild,Discover Financial,$9.3 Million,47%,"$47,096 ",2019
Ryan Marshall,PulteGroup,$9.2 Million,51%,"$96,842 ",2019
Richard J. Tobin,Dover,$9.1 Million,66%,"$45,141 ",2019
Mauricio Gutierrez,NRG Energy,$9.1 Million,0.70%,"$114,883 ",2019
Andrew K. Silvernail,IDEX,$9.1 Million,38%,"$66,703 ",2019
Scott G. Stephenson,Verisk Analytics,$9.1 Million,38%,"$77,055 ",2019
D. James Bidzos,VeriSign,$9.0 Million,30%,"$180,475 ",2019
Greg D. Carmichael,Fifth Third,$9.0 Million,35%,"$68,103 ",2019
Patricia K. Poppe,CMS Energy,$9.0 Million,30%,"$122,783 ",2019
Matthew Farrell,Church & Dwight,$9.0 Million,8.30%,"$65,894 ",2019
Michelle Gass,Kohl's,$9.0 Million,-35%,"$9,738 ",2019
Edward Doheny II,Sealed Air,$9.0 Million,16%,"$55,804 ",2019
J. Patrick Gallagher Jr.,Arthur Gallagher & Co.,$9.0 Million,32%,"$56,067 ",2019
Gary C. Kelly,Southwest Airlines,$8.8 Million,18%,"$101,302 ",2019
W. Anthony Will,CF Industries,$8.8 Million,13%,"$119,957 ",2019
Olivier A. Filliol,Mettler Toledo,$8.8 Million,40%,"$39,445 ",2019
Thomas Rutledge,Charter Communications,$8.7 Million,70%,"$57,625 ",2019
Ronald O'hanley,State Street,$8.7 Million,29%,"$56,610 ",2019
Scott Rowe,Flowserve,$8.7 Million,34%,"$64,075 ",2019
Keith J. Allman,Masco,$8.7 Million,66%,"$40,070 ",2019
Gregory A. Sandfort,Tractor Supply,$8.7 Million,14%,"$28,524 ",2019
C. Michael Petters,Huntington Ingalls,$8.6 Million,34%,"$73,108 ",2019
William C. Rhodes III,AutoZone,$8.6 Million,44%,"$27,581 ",2019
David D. Petratis,Allegion,$8.6 Million,58%,"$44,199 ",2019
Luther C. Kissam IV,Albemarle,$8.5 Million,-3.30%,"$77,782 ",2019
Mitchell R. Butier,Avery Dennison,$8.5 Million,48%,"$12,278 ",2019
Robert M. Bakish,Viacomcbs,$8.4 Million,-2.30%,"$104,791 ",2019
Gary L. Coleman,Globe Life,$8.3 Million,42%,"$98,507 ",2019
Larry M. Hutchison,Globe Life,$8.3 Million,42%,"$98,507 ",2019
James P. Snee,Hormel Foods,$8.3 Million,-4.40%,"$45,086 ",2019
Patrick Decker,Xylem,$8.3 Million,20%,"$50,000 ",2019
Stephen A. Richardson,Alexandria Real Estate,$8.3 Million,44%,"$155,000 ",2019
Peter M. Moglia,Alexandria Real Estate,$8.3 Million,44%,"$155,000 ",2019
Gerardo Norcia,DTE Energy,$8.2 Million,21%,"$153,976 ",2019
Edward T. Tilly,Cboe,$8.2 Million,24%,"$166,086 ",2019
Paul D. Donahue,Genuine Parts,$8.2 Million,14%,"$39,321 ",2019
W. Craig Jelinek,Costco,$8.0 Million,28%,"$47,312 ",2019
